SETUP																																																																		
N.SSMU	N.Bathtub	N.season	Timeseries.Yrs	Krill.Rage	Init.Season	Base.Fishing.Option																																																												
14	SGW	4	N	70208	0.1000	0.1306	0.0000	0.0000	0.3978	1024994	185117	0.3700	0.0000	3507360.0000	20.0000	0.1306	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	2260218.0000	20.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0900	0.0100	0.0000	0.0000	0.0000	0.0100	0.0100	0.0100	0.1600	0.0000	0.0000	0.0000	0.1800	0.0100	0.0100	0.1000	0.3000	0.1000					
15	SGE	4	N	700	0.1000	0.1306	0.0000	0.0000	0.3978	10215	1886	0.3700	0.0000	3507360.0000	20.0000	0.1306	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	2260218.0000	20.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0900	0.0100	0.0000	0.0000	0.0000	0.0100	0.0100	0.0100	0.1600	0.0000	0.0000	0.0000	0.1800	0.0100	0.0100	0.1000	0.3000	0.1000					
																																																																		
PENGS																																																																		
		Rage	init.type	init.value	Jphi	M	Mswitch	Mprop	Ralpha	RSpeak	RRpeak	Rphi	Qq	QQmax	Qk5	M	Mswitch	Mprop	Ralpha	RSpeak	RRpeak	Rphi	Qq	QQmax	Qk5	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18					
SSMU	SSMU	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2					
1	APPA	NA	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
2	APW	4	N	241540	1.0000	0.0835	0.0000	0.0000	0.1986	260472	78527	0.3700	0.0000	676754.0000	20.0000	0.0835	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	481040.0000	20.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0800	0.1500	0.0000	0.0000	0.0100	0.0100	0.0100	0.0300	0.1000	0.0000	0.0000	0.0100	0.1100	0.0100	0.0100	0.2300	0.0000	0.2300					
3	APDPW	3	N	71164	1.0000	0.1116	0.0000	0.0000	0.2331	76742	28617	0.3700	0.0000	554859.0000	20.0000	0.1116	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	446368.0000	20.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1700	0.0200	0.0700	0.0100	0.0100	0.0100	0.0100	0.0400	0.2800	0.0100	0.0000	0.0100	0.3200	0.0200	0.0200	0.0000	0.0000	0.0000					
4	APDPE	3	N	1183090	1.0000	0.1116	0.0000	0.0000	0.2210	1275823	509033	0.3700	0.0000	546937.0000	20.0000	0.1116	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	449224.0000	20.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1700	0.0200	0.0100	0.0100	0.0100	0.0100	0.0100	0.0300	0.3100	0.0100	0.0000	0.0100	0.3500	0.0200	0.0200	0.0000	0.0000	0.0000					
5	APBSW	3	N	1079278	1.0000	0.1116	0.0000	0.0000	0.2223	1163874	433692	0.3700	0.0000	547800.0000	20.0000	0.1116	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	448911.0000	20.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1700	0.0200	0.0100	0.0100	0.0200	0.0100	0.0100	0.0300	0.3100	0.0100	0.0000	0.0100	0.3500	0.0200	0.0200	0.0000	0.0000	0.0000					
6	APBSE	4	N	259496	1.0000	0.0810	0.0000	0.0000	0.1895	279836	82610	0.3700	0.0000	684375.0000	20.0000	0.0810	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	486200.0000	20.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0700	0.0100	0.0000	0.0000	0.0100	0.1300	0.0100	0.0200	0.1000	0.0000	0.0000	0.0100	0.1100	0.0100	0.0100	0.2500	0.0000	0.2500					
7	APEI	3	N	852001	1.0000	0.1116	0.0000	0.0000	0.2198	918782	342394	0.3700	0.0000	546148.0000	20.0000	0.1116	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	449510.0000	20.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1700	0.0200	0.0100	0.0100	0.0100	0.0100	0.0200	0.0300	0.3200	0.0100	0.0000	0.0100	0.3600	0.0200	0.0200	0.0000	0.0000	0.0000					
8	APE	5	N	715053	1.0000	0.0587	0.0000	0.0000	0.1442	771100	184029	0.3700	0.0000	797203.0000	20.0000	0.0587	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	528720.0000	20.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4500	0.0000	0.4500					
9	SOPA	NA	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
10	SOW	3	N	1812	1.0000	0.1116	0.0000	0.0000	0.2193	1954	717	0.3700	0.0000	545793.0000	20.0000	0.1116	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	449638.0000	20.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1700	0.0200	0.0100	0.0100	0.0100	0.0100	0.0100	0.0300	0.3200	0.0100	0.0000	0.0100	0.3600	0.0200	0.0200	0.0000	0.0000	0.0000					
11	SONE	5	N	463307	1.0000	0.0595	0.0000	0.0000	0.1456	499622	118354	0.3700	0.0000	791914.0000	20.0000	0.0595	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	526953.0000	20.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.1000	0.0000	0.0100	0.0000	0.0000	0.4400	0.0000	0.4400					
12	SOSE	3	N	1588430	1.0000	0.0989	0.0000	0.0000	0.2028	1712934	573708	0.3700	0.0000	594790.0000	20.0000	0.0989	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	464345.0000	20.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1300	0.0100	0.0100	0.0100	0.0100	0.0100	0.0100	0.0200	0.2400	0.0000	0.0000	0.0400	0.2700	0.0100	0.0200	0.1000	0.0000	0.1000					
13	SGPA	NA	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
